bps_region_code,province,district,poverty_rate,poverty_year,merge_key
1601,SUMATERA SELATAN,Ogan Komering Ulu,10.08,2025,SUMATERA SELATAN|OGAN KOMERING ULU
7316,SULAWESI SELATAN,Enrekang,10.73,2025,SULAWESI SELATAN|ENREKANG
1223,SUMATERA UTARA,Labuhan Batu Utara,8.42,2025,SUMATERA UTARA|LABUHAN BATU UTARA
1201,SUMATERA UTARA,Nias,14.51,2025,SUMATERA UTARA|NIAS
1605,SUMATERA SELATAN,Musi Rawas,12.67,2025,SUMATERA SELATAN|MUSI RAWAS
5303,NUSA TENGGARA TIMUR,Kupang,20.32,2025,NUSA TENGGARA TIMUR|KUPANG
1107,ACEH,Aceh Barat,15.5,2025,ACEH|ACEH BARAT
3312,JAWA TENGAH,Wonogiri,9.59,2025,JAWA TENGAH|WONOGIRI
3508,JAWA TIMUR,Lumajang,8.6,2025,JAWA TIMUR|LUMAJANG
6571,KALIMANTAN UTARA,Kota Tarakan,5.03,2025,KALIMANTAN UTARA|KOTA TARAKAN
5102,BALI,Tabanan,4.23,2025,BALI|TABANAN
7403,SULAWESI TENGGARA,Konawe,12.78,2025,SULAWESI TENGGARA|KONAWE
1608,SUMATERA SELATAN,Ogan Komering Ulu Selatan,9.17,2025,SUMATERA SELATAN|OGAN KOMERING ULU SELATAN
1610,SUMATERA SELATAN,Ogan Ilir,11.69,2025,SUMATERA SELATAN|OGAN ILIR
7302,SULAWESI SELATAN,Bulukumba,6.06,2025,SULAWESI SELATAN|BULUKUMBA
6106,KALIMANTAN BARAT,Ketapang,8.44,2025,KALIMANTAN BARAT|KETAPANG
3210,JAWA BARAT,Majalengka,10.31,2025,JAWA BARAT|MAJALENGKA
